Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00  ,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00  ,"received from: monitoring_tool@company.com

job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00  ,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g ,amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g ,jyoqwxhz clhxsoqy,GRP_12,en,c label sys server space consumed available g,45,8,4.75,8,c label sys server space consumed available g
unable to view payslips from hr_tool e time,unable to view payslips from hr_tool e time,vzrbocfl wxtpoyez,GRP_0,en,unable view payslip hr tool e time,34,7,4.0,7,unable view payslip hr tool e time
password expiry tomorrow,"

received from: ecprjbod.litmjwsy@gmail.com

my system says my password expires tomorrow.  but when i want to change to a new password, it does not allow.  the new password is not acceptingâ€¦.it says server does not authorize.  kindly check and do the needful as the password is expiring tomorrow.  ",ecprjbod litmjwsy,GRP_0,en,password expiry tomorrow system say expires want change new allow accepting… server authorize ly check needful expiring,119,17,6.0588235294117645,17,password expiry tomorrow system say expires want change new allow accepting server authorize ly check needful expiring
re: ess portal access issue,"

received from: noscwdpm.akiowsmp@gmail.com

hello,

he is an kiosk user.  please reset the password and confirm.


noscwdpm akiowsmp
noscwdpm.akiowsmp@gmail.com

from: ihkolepb ozhnjyef
sent: 29 october 2016 13:38
to: company@ticketing_tool.com
subject: ess portal access issue

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.

",noscwdpm akiowsmp,GRP_0,en,es portal access issue kiosk user reset password confirm,56,9,5.333333333333333,9,es portal access issue kiosk user reset password confirm
ess portal access issue,"

received from: ihkolepb.ozhnjyef@gmail.com

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.

",ihkolepb ozhnjyef,GRP_0,en,es portal access issue mentioned employee krlszbqo spimolgz user id able login pay slip related content attendance tool reset password revert back,146,22,5.681818181818182,22,es portal access issue mentioned employee krlszbqo spimolgz user id able login pay slip related content attendance tool reset password revert back
job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00  ,"received from: monitoring_tool@company.com

job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00  ,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00  ,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00  ,"received from: monitoring_tool@company.com

job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00  ,"received from: monitoring_tool@company.com

job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
attendance_tool - system log on error,"

received from: isfadulo.etkyjabn@gmail.com

hello

good morning,

i am experiencing issues with attendance_tool log on
every time i try to log on through ""single sign portal, the following screen gets displayed and it stays there.
appreciate your support to fix this issue


[cid:image011.jpg@01d231cb.2cceacf0]

",isfadulo etkyjabn,GRP_0,en,attendance tool system log error experiencing issue onevery time try single sign portal following screen get displayed stay appreciate support fix t issue,154,23,5.739130434782608,22,attendance tool system log error experiencing issue onevery time try single sign portal following screen get displayed stay appreciate support fix t issue
excel freezing issue,excel freezing issue,jborwynt gidxbfrq,GRP_0,en,excel freezing issue,20,3,6.0,3,excel freezing issue
unable to sync a file in collaboration_platform ,unable to sync a file in collaboration_platform ,utdlmzyb dvfpraeg,GRP_0,en,unable sync file collaboration platform,39,5,7.0,5,unable sync file collaboration platform
unable to update password on the password_management_tool password manager,unable to update password on the password_management_tool password manager,eflahbxn ltdgrvkz,GRP_0,en,unable update password management tool manager,46,6,6.833333333333333,6,unable update password management tool manager
vitalyst transfer: reporting_tool access query,vitalyst transfer: reporting_tool access query,flhkxeqd gwidroap,GRP_0,en,vitalyst transfer reporting tool access query,45,6,6.666666666666667,6,vitalyst transfer reporting tool access query
job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00  ,"received from: monitoring_tool@company.com

job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00",bpctwhsn kzqsbmtp,GRP_13,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
user said he will callback ,user said he will callback ,fumkcsji sarmtlhy,GRP_0,en,user said callback,18,3,5.333333333333333,3,user said callback
unable update passwords on password_management_tool ,unable update passwords on password_management_tool ,xeakyiqt knhjogel,GRP_0,en,unable update password password management tool,47,6,7.0,5,unable update password password management tool
erp SID_34 erp production password reset // account is locked,erp SID_34 erp production password reset // account is locked,qmgspxkf mckfysdh,GRP_0,en,erp production password reset account locked,44,6,6.5,6,erp production password reset account locked
server issues,"

received from: bgqpotek.cuxakvml@gmail.com

hello,

i have been trying to gain access to my pay roll information on the hub, specifically the hr_tool etime portal. the ""other"" information on the portal come up without problems, but the ""pay stub"" does notâ€¦it continuously shows the search ring.


",bgqpotek cuxakvml,GRP_0,en,server issue trying gain access pay roll information hub specifically hr tool etime portal come without problem stub not…it continuously show search ring,153,23,5.695652173913044,23,server issue trying gain access pay roll information hub specifically hr tool etime portal come without problem stub not it continuously show search ring
ticket update on ticket_no0454269,ticket update on ticket_no0454269,fumkcsji sarmtlhy,GRP_0,sv,ticket update,13,2,6.0,2,ticket update
unable to display expense report,unable to display expense report,ncksqfmz fzcjunai,GRP_0,es,unable display expense report,29,4,6.5,4,unable display expense report
password reset for upitdmhz owupktcg cruzjc,password reset for upitdmhz owupktcg cruzjc,uazkjifp dhtnevcq,GRP_0,en,password reset upitdmhz owupktcg cruzjc,39,5,7.0,5,password reset upitdmhz owupktcg cruzjc
unable to login in benefits tab,unable to login in benefits tab,bsmjflrp bvslpafi,GRP_0,en,unable login benefit tab,24,4,5.25,4,unable login benefit tab
"hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?","hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?",ndaoxbvi szxlciue,GRP_0,en,issue outlook view call let share screen,40,7,4.857142857142857,7,issue outlook view call let share screen
unable to access mails ,unable to access mails ,cdfqvlzu jzmwuirn,GRP_0,ca,unable access mail,18,3,5.333333333333333,3,unable access mail
unable to display expense report,unable to display expense report,rbozivdq gmlhrtvp,GRP_0,es,unable display expense report,29,4,6.5,4,unable display expense report
mobile device activation,"from: tvcdfqgp nrbcqwgj 
sent: friday, october 28, 2016 3:13 pm
to: nwfodmhc exurcwkm
subject:  se ha bloqueado en forma temporal la sincronizaciÃ³n de su dispositivo mÃ³vil mediante exchange activesync hasta que su administrador autorice el acceso.

hi

i received this message and our local it expert has told me to open a ticket.

",tvcdfqgp nrbcqwgj,GRP_0,en,mobile device activation,24,3,7.333333333333333,3,mobile device activation
internal keybankrd will not work after cs nor will an external usb keybankrd.,internal keybankrd will not work after cs nor will an external usb keybankrd.,hefiuwvo lcgadsef,GRP_3,en,internal keybankrd work c external usb,38,6,5.5,6,internal keybankrd work c external usb
blank call //gso,blank call //gso,rbozivdq gmlhrtvp,GRP_0,en,blank call gso,14,3,4.0,3,blank call gso
password change thru password_management_tool password manager,"

received from: jvpkulxw.ovuweygj@gmail.com

hello sir,

i tried to change my password thru above. i  got below error. pl help know what action to be taken further to ensure all passwords are same everywhere since belo wmsg says all passwords were not changed.

[cid:image001.jpg@01d2316b.5ff15980]

",jvpkulxw ovuweygj,GRP_0,en,password change thru management tool manager sir tried got error pl help know action taken ensure password everywhere since belo wmsg say changed,145,23,5.3478260869565215,22,password change thru management tool manager sir tried got error pl help know action taken ensure password everywhere since belo wmsg say changed
unlock personal number in ess,unlock personal number in ess,ltsqkane ycgwexdf,GRP_0,en,unlock personal number es,25,4,5.5,4,unlock personal number es
intermittent service on configair server in SID_34 requires probably a restart on production server,"intermittent service on configair server in SID_34 requires probably a restart on production server. 
the error occurs in production and shows ""500 internal serrver error. error: while trying to invoke the method java.util.list.iterator() of null object loaded from local variable 'local list'""
the issue can be reproduced in production e.g.:
a) company customer e.g.# 81510728 and base material mm3716934 (hss/pm finishing)
b) company customer e.g. .# 81510728 and starting from scratch. i can select a product platform e.g. hp hss/pm roughing, but the screen freezes.
c) log-on language different ""en"", e.g. ""de"". company customer e.g. 81124199; base material e.g. 5157483. 
we had this issues already several times before and it needed always a restart of the server. thryeu is a good contact person for this issue as he was already working on the root cause with our external vendor configair.
",iavozegx jpcudyfi,GRP_14,en,intermittent service configair server requires probably restart production error occurs show internal serrver wle trying invoke method java util list iterator null object loaded local variable issue reproduced e g company customer base material hs pm finisng b starting scratch select product platform hp rougng screen freeze c log language different en de t issue already several time needed always thryeu good contact person working root cause external vendor,461,69,5.695652173913044,68,intermittent service configair server requires probably restart production error occurs show internal serrver wle trying invoke method java util list iterator null object loaded local variable issue reproduced e g company customer base material hs pm finisng b starting scratch select product platform hp rougng screen freeze c log language different en de t issue already several time needed always thryeu good contact person working root cause external vendor
